Date,Name of Event or Training,Type of Event,Training Type (if applicable),Duration (Hours),Virtual or In-Person,Location,Training or Event Capacity,Total Participants,Total Registrants,"Percent of participants with increased knowledge, skills, and/or abilities",Population/Audience/Sector,Is this training a part of an organizational policy?,Alignment with RG strategic map,Number of Native Hawaiian or Other Pacific Islander Participants,Number of Asian Participants,Number of American Indian or Alaska Native Participants,Number of White Participants,Number of Black/African American Participants,Middle Eastern or North African,Number of Hispanic or Latino Participants,Number of Multiracial Participants,Notes and Additional Information
12/08/2023,Event 52,Community Outreach,MHFA (Mental Health First Aid),1,In-Person,Colquitt,23,29,69,65%,Faith-Based Org,Yes,Convene and Align Training Groups,7,9,7,9,9,9,3,10,No additional notes
10/09/2023,Event 45,Training,Connections Matter,4,In-Person,Seminole,20,41,89,N/A,Business,No,Convene and Align Training Groups,1,6,1,8,3,7,3,5,No additional notes
10/15/2023,Event 82,Awareness Event,N/A,2,Virtual,Decatur,23,97,97,61%,Business,Yes,Prevent ACEs/Foster PCEs,8,8,10,3,4,10,7,1,No additional notes
11/16/2023,Event 86,Training,MHFA (Mental Health First Aid),1,In-Person,Miller,31,41,18,80%,Community,Yes,Promote Sustainable Systems/Policy Change,2,7,5,8,0,8,8,9,No additional notes
12/22/2023,Event 41,Community Outreach,N/A,1,Virtual,Colquitt,27,80,100,66%,Community,Yes,Promote Sustainable Systems/Policy Change,5,2,1,8,9,7,9,10,No additional notes
10/24/2023,Event 71,Training,Connections Matter,2,In-Person,Grady,43,63,79,74%,Business,Yes,Promote Sustainable Systems/Policy Change,9,3,6,9,5,8,5,8,No additional notes
11/03/2023,Event 90,Training,"QPR (Question, Persuade, Refer)",3,Virtual,Colquitt,68,51,24,67%,Youth-Serving Org,No,Expand Access in Rural/Under Resourced Area,5,8,7,4,8,6,8,2,Special remarks
12/24/2023,Event 15,Training,CRM (Community Resiliency Model),4,In-Person,Seminole,93,82,35,N/A,Community,No,Promote Sustainable Systems/Policy Change,6,10,8,6,5,4,5,8,No additional notes
11/01/2023,Event 80,Community Outreach,N/A,4,In-Person,Colquitt,97,25,18,76%,Community,No,Prevent ACEs/Foster PCEs,1,2,7,8,10,6,9,6,No additional notes
11/16/2023,Event 68,Awareness Event,N/A,2,In-Person,Mitchell,50,28,44,92%,Youth-Serving Org,Yes,Promote Sustainable Systems/Policy Change,3,7,0,10,3,4,4,8,No additional notes
11/01/2023,Event 60,Training,CRM (Community Resiliency Model),1,In-Person,Grady,59,42,63,73%,Social Services,Yes,Prevent ACEs/Foster PCEs,7,3,0,2,4,0,3,9,No additional notes
12/16/2023,Event 18,Training,ASIST (Applied Suicide Intervention Skills Training),2,Virtual,Mitchell,68,24,49,70%,Business,No,Prevent ACEs/Foster PCEs,9,10,9,6,4,4,7,4,No additional notes
10/03/2023,Event 32,Training,N/A,3,In-Person,Miller,20,13,39,69%,First Responders,Yes,Promote Sustainable Systems/Policy Change,1,0,4,6,10,0,10,2,No additional notes
12/17/2023,Event 75,Awareness Event,"Resilient Parent, Becoming A",4,In-Person,Brooks,70,51,97,59%,Business,No,Expand Access in Rural/Under Resourced Area,0,1,6,10,4,2,6,6,No additional notes
11/18/2023,Event 77,Awareness Event,N/A,2,Virtual,Grady,35,96,95,N/A,Social Services,Yes,Expand Access in Rural/Under Resourced Area,10,2,8,2,6,5,2,5,No additional notes
11/09/2023,Event 75,Training,SafeTALK,1,Virtual,Seminole,76,55,71,92%,First Responders,No,Promote Sustainable Systems/Policy Change,3,1,5,0,2,1,3,0,No additional notes
10/11/2023,Event 25,Training,MHFA (Mental Health First Aid),3,In-Person,Early,98,30,16,64%,First Responders,Yes,Promote Sustainable Systems/Policy Change,1,8,1,0,8,7,8,3,No additional notes
12/18/2023,Event 79,Training,Strengthening Families Georgia,1,In-Person,Thomas,90,73,35,N/A,Business,Yes,Expand Access in Rural/Under Resourced Area,10,2,2,0,7,0,4,2,No additional notes
12/16/2023,Event 41,Training,MHFA (Mental Health First Aid),4,In-Person,Thomas,97,63,90,59%,Business,Yes,Prevent ACEs/Foster PCEs,9,2,10,5,0,1,4,1,No additional notes
10/22/2023,Event 63,Community Outreach,SafeTALK,2,In-Person,Mitchell,40,44,33,N/A,Community,Yes,Prevent ACEs/Foster PCEs,3,6,10,0,1,8,6,4,No additional notes
12/14/2023,Event 6,Awareness Event,CRM (Community Resiliency Model),2,Virtual,Early,26,77,10,N/A,Parents/Caregivers,No,Promote Sustainable Systems/Policy Change,9,10,0,6,2,8,3,0,No additional notes
12/08/2023,Event 50,Community Outreach,"QPR (Question, Persuade, Refer)",3,Virtual,Decatur,35,86,44,N/A,Business,Yes,Promote Sustainable Systems/Policy Change,2,10,8,10,10,3,5,10,No additional notes
11/07/2023,Event 85,Training,Connections Matter,4,In-Person,Miller,33,57,16,74%,First Responders,Yes,Convene and Align Training Groups,1,8,2,9,6,9,9,4,No additional notes
11/10/2023,Event 34,Community Outreach,"Resilient Parent, Becoming A",2,Virtual,Miller,36,100,52,67%,Faith-Based Org,No,Convene and Align Training Groups,7,5,0,0,6,4,2,5,Special remarks
12/05/2023,Event 50,Training,N/A,3,In-Person,Decatur,66,94,86,94%,Faith-Based Org,No,Prevent ACEs/Foster PCEs,1,0,0,9,0,4,5,10,No additional notes
11/12/2023,Event 99,Community Outreach,CRM (Community Resiliency Model),1,Virtual,Early,68,65,15,100%,Youth-Serving Org,Yes,Promote Sustainable Systems/Policy Change,10,7,4,4,7,6,8,8,No additional notes
12/08/2023,Event 40,Community Outreach,N/A,2,In-Person,Seminole,62,48,90,100%,Business,No,Expand Access in Rural/Under Resourced Area,7,3,10,7,10,6,6,7,No additional notes
11/25/2023,Event 74,Community Outreach,"QPR (Question, Persuade, Refer)",1,In-Person,Decatur,97,76,36,100%,Community,Yes,Prevent ACEs/Foster PCEs,4,1,9,5,2,0,3,6,No additional notes
10/16/2023,Event 37,Community Outreach,"QPR (Question, Persuade, Refer)",4,Virtual,Early,31,22,49,94%,Community,No,Convene and Align Training Groups,8,1,6,4,10,7,1,6,Special remarks
